group,model,subject,bic
19,x-aim-scale-one-state,14,-171.7401110490489
19,y-aim-scale-one-state,14,-171.68448580995482
19,error-scale-two-state-non-neg,14,-331.36088021790647
19,retention-scale-two-state-non-neg,14,-350.44096626074634
19,bias-scale-two-state-non-neg,14,-354.3902915954181
19,x-aim-scale-two-state-non-neg,14,-373.8075476734866
19,y-aim-scale-two-state-non-neg,14,-373.80440923340325
19,error-scale-two-state,15,-360.7924812989854
19,retention-scale-two-state,15,-409.7688951944805
19,bias-scale-two-state,15,-383.99703371637884
19,x-aim-scale-two-state,15,-399.89273908585926
19,y-aim-scale-two-state,15,-399.91031063845
19,error-scale-one-state,15,-52.17745235845936
19,retention-scale-one-state,15,-41.972489335481725
19,bias-scale-one-state,15,-141.635689928721
19,x-aim-scale-one-state,15,-158.54149156582088
19,y-aim-scale-one-state,15,-158.55706118023568
19,error-scale-two-state-non-neg,15,-335.8299265588319
19,retention-scale-two-state-non-neg,15,-314.3571044304661
19,bias-scale-two-state-non-neg,15,-355.2275507347154
19,x-aim-scale-two-state-non-neg,15,-372.09617911696614
19,y-aim-scale-two-state-non-neg,15,-372.091132874153
19,error-scale-two-state,16,-384.88796985693705
19,retention-scale-two-state,16,-410.568436428488
19,bias-scale-two-state,16,-392.07643354933305
19,x-aim-scale-two-state,16,-420.5914178417686
19,y-aim-scale-two-state,16,-411.5438130813159
19,error-scale-one-state,16,-45.98516900780629
19,retention-scale-one-state,16,-33.87646222530978
19,bias-scale-one-state,16,-140.88278693045893
19,x-aim-scale-one-state,16,-159.53570418484742
19,y-aim-scale-one-state,16,-159.67547417841604
19,error-scale-two-state-non-neg,16,-371.5721051996936
19,retention-scale-two-state-non-neg,16,-364.5105724499467
19,bias-scale-two-state-non-neg,16,-351.45970069485446
19,x-aim-scale-two-state-non-neg,16,-382.53378999993834
19,y-aim-scale-two-state-non-neg,16,-374.3591206737751
19,error-scale-two-state,17,-360.7071252575954
19,retention-scale-two-state,17,-404.7632811152652
19,bias-scale-two-state,17,-382.68957822970873
19,x-aim-scale-two-state,17,-406.0745683035616
19,y-aim-scale-two-state,17,-406.12823104835275
19,error-scale-one-state,17,-48.41934877369647
19,retention-scale-one-state,17,-35.89243399144388
19,bias-scale-one-state,17,-146.58625750851402
19,x-aim-scale-one-state,17,-165.30134494485515
19,y-aim-scale-one-state,17,-165.27522028108308
19,error-scale-two-state-non-neg,17,-332.8561713177913
19,retention-scale-two-state-non-neg,17,-371.2006583456914
